BOD,BODQI,Ecoli,EcoliQI,Nitrate,NitrateQI,pH,pHQI,TempChange,TempChangeQI,TDS,TDSQI,Phosphate,PhosphateQI,Turb,TurbQI,DO_percent,DO_percentQI
0,100,1,100,0,97,0,1,-10,55,0,79,0,100,0,99,0,2
0.5,98,2,90,2,95,2,2,0,93,10,82,0.2,92,3,90,5,5
1,95,5,81,3,90,3,4,5,73,20,84,0.5,60,8,80,10,7
1.5,90,10,72,3.5,80,3.5,6,9.5,47,30,84.5,0.7,50,13,70,16,10
2.5,70,20,65,4,70,4,9,12,36,40,86,1,40,15,67,20,12
4,61,50,56,6,60,4.1,10,14.5,32,60,87,1.3,34,20,61,25,17
6.5,48,100,47,10,51,4.5,15,21,20,70,86,1.6,30,30,53,32,20
8.5,40,200,38,17,40,4.8,20,30.00001,10,150,79,2,27,40,45,34,22
11,30,500,28,27,30,5.1,30,,,450,40,3.2,20,50,39,40,30
15,20,1000,26,37,20,6.2,60,,,500.00001,31,4,17,60,33,45,37
17.5,15,2000,20,50,10,6.8,83,,,,,5,13,70,29,50,44
20,12,10000,10,54,8,7,88,,,,,6,10,80,25,55,51
21.5,10,100000,4,71,4.5,7.1,90,,,,,7,8,90,22,62,60
25,7,,,80,4,7.2,92,,,,,8,7,100.00001,17,67,70
27,6,,,90,3,7.4,93,,,,,10.00001,7,,,70,75
30.00001,5,,,100.00001,2.5,7.6,92,,,,,,,,,74,80
,,,,,,7.8,90,,,,,,,,,80,87
,,,,,,8,84,,,,,,,,,84,90
,,,,,,8.9,52,,,,,,,,,90,95
,,,,,,9.7,26,,,,,,,,,94,98
,,,,,,10,20,,,,,,,,,98,99
,,,,,,10.3,15,,,,,,,,,100,99
,,,,,,10.7,11,,,,,,,,,102,99
,,,,,,10.8,10,,,,,,,,,106,98
,,,,,,11,8,,,,,,,,,110,96
,,,,,,11.5,5,,,,,,,,,115,93
,,,,,,12.00001,3,,,,,,,,,120,90
,,,,,,,,,,,,,,,,125,87
,,,,,,,,,,,,,,,,130,84
,,,,,,,,,,,,,,,,135,81
,,,,,,,,,,,,,,,,137,80
,,,,,,,,,,,,,,,,140.00001,78
